Price,Manufacturing_year,Engine capacity,KM driven,Ownership,Imperfections,Repainted Parts,Spare key_Yes,Transmission_Manual,Fuel type_Diesel,Fuel type_Petrol
361000,2017,998,90417,1,8,4,True,True,False,True
900000,2023,1197,28570,1,0,0,True,True,False,True
608000,2017,1197,61462,1,2,0,True,True,False,True
647000,2019,1197,55295,2,2,1,False,True,False,True
219000,2013,796,49551,2,3,6,True,True,False,True
620000,2018,1197,43680,1,7,2,False,True,False,True
999000,2021,1462,54421,1,1,0,False,True,False,True
356000,2012,1248,62234,2,4,12,False,True,True,False
980000,2021,1462,53293,1,1,0,True,True,False,True
664000,2019,1197,19029,1,1,2,True,False,False,True
643000,2021,1197,23180,1,4,2,True,True,False,True
318000,2014,998,58071,3,6,0,True,False,False,True
306000,2020,796,62586,2,3,2,True,True,False,True
441000,2015,1197,61446,2,21,9,False,True,False,True
194000,2013,998,62715,2,10,8,False,True,False,True
690000,2020,1197,55997,1,5,3,True,True,False,True
283000,2012,1197,42582,1,11,27,True,True,False,True
365000,2014,998,22765,1,6,6,True,True,False,True
738000,2021,1197,31437,1,8,5,True,True,False,True
696000,2018,1462,29010,1,6,3,False,True,False,True
424000,2022,796,10612,1,1,1,True,True,False,True
747000,2019,1197,32201,1,4,2,True,False,False,True
277000,2017,796,49061,1,10,5,True,True,False,True
450000,2021,998,10266,1,0,0,False,True,False,True
568000,2017,1197,47626,2,3,3,False,True,False,True
472000,2023,998,16628,1,0,0,False,True,False,True
273000,2013,998,64400,2,0,0,False,True,False,False
493000,2017,1197,74579,1,8,3,False,True,False,True
348000,2014,998,28118,1,2,2,False,True,False,False
353000,2015,998,52646,1,13,2,True,True,False,False
391000,2016,998,42692,1,14,3,False,False,False,True
491000,2017,1197,94021,2,3,0,True,True,False,True
1228000,2023,1462,32447,1,1,0,True,True,False,False
479000,2019,998,86195,1,3,2,True,True,False,False
1198000,2023,1462,21398,1,2,2,True,True,False,True
487000,2013,1248,40081,1,8,14,True,True,True,False
520000,2020,998,57184,1,3,2,True,True,False,False
747000,2016,1248,72213,1,13,3,True,True,True,False
792000,2021,1197,16690,1,4,2,True,False,False,True
581000,2018,1197,33974,1,8,4,True,False,False,True
1141000,2022,1462,18859,1,6,0,True,True,False,True
612000,2021,1197,26550,1,2,8,True,False,False,True
598000,2020,1197,56042,2,13,4,True,False,False,True
674000,2022,998,28720,1,4,0,True,False,False,True
528000,2017,1197,113814,2,7,5,False,False,False,True
312000,2014,998,81895,1,6,5,True,True,False,False
527000,2017,1248,107690,2,6,3,True,True,True,False
404000,2017,998,33857,2,9,0,True,False,False,True
505000,2016,1197,43273,1,16,3,True,True,False,True
747000,2018,1462,57301,1,6,4,True,False,False,True
459000,2016,1373,99639,1,14,0,False,True,False,True
699000,2018,1197,15600,1,4,4,True,False,False,True
631000,2018,1197,43313,1,2,5,True,False,False,True
337000,2013,1197,42338,1,22,8,False,True,False,True
237000,2015,796,68920,2,11,6,True,True,False,False
444000,2017,1197,89378,2,8,8,True,True,False,True
433000,2016,1197,35970,1,23,4,False,True,False,True
367000,2016,998,33655,1,23,0,True,True,False,True
566000,2016,1248,96990,1,5,2,True,True,True,False
601000,2015,1373,52143,3,18,5,False,True,False,False
301000,2015,998,95214,1,21,0,True,False,False,True
522000,2016,1197,34019,1,15,2,True,False,False,True
625000,2017,1248,53293,1,25,3,False,True,True,False
526000,2015,1248,56687,1,9,6,True,True,True,False
1159000,2022,1462,5377,1,1,1,True,True,False,True
334000,2021,796,26866,1,8,9,True,True,False,True
586000,2014,1373,62157,2,16,6,True,True,False,False
589000,2023,998,1958,1,4,0,True,True,False,True
600000,2019,1197,16547,2,3,9,True,False,False,True
376000,2017,998,57012,2,13,2,True,True,False,False
385000,2016,998,76727,1,17,3,True,False,False,True
773000,2021,1462,30926,1,3,2,True,True,False,True
580000,2018,1197,44613,2,5,8,True,False,False,True
327000,2015,998,73092,2,29,1,True,False,False,True
371000,2014,1197,53120,1,5,3,False,True,False,True
380000,2017,998,22280,1,6,1,False,True,False,True
288000,2014,998,99498,2,19,2,False,True,False,False
376000,2017,998,56359,2,9,4,True,True,False,False
518000,2019,998,35436,1,3,3,True,True,False,False
295000,2013,998,35954,1,25,3,False,True,False,True
439000,2016,1197,49757,2,27,4,False,True,False,True
1006000,2020,1462,29624,1,2,0,True,False,False,True
401000,2020,998,66992,1,4,2,False,True,False,False
305000,2015,998,28048,2,16,4,False,True,False,True
725000,2015,1248,74875,1,17,10,False,True,True,False
706000,2018,1462,18001,1,12,1,True,True,False,True
755000,2021,1462,16909,1,8,0,True,True,False,True
474000,2017,1197,57535,2,16,0,False,True,False,True
431000,2017,1197,56219,2,27,0,False,True,False,False
338000,2015,998,16624,1,5,2,False,True,False,True
506000,2017,1197,62669,1,20,4,True,True,False,True
